,station,station_name,station_code,ts_lat,ts_long,delay,ws,ws_name,ws_code,ws_lat,ws_long,windspeed,mean_temp,percipitation,visibility,wind_direction
0,http://www.group15_KD_tr_onto/AMR,Alkmaar railway station,AMR,52.6378,4.74056,0.7563451776649747,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
1,http://www.group15_KD_tr_onto/ANA,Anna Paulowna railway station,ANA,52.8669,4.81111,0.4875,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
2,http://www.group15_KD_tr_onto/HDRZ,Den Helder Zuid railway station,HDRZ,52.9331,4.76389,0.375,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
3,http://www.group15_KD_tr_onto/HDR,Den Helder railway station,HDR,52.9564,4.76083,0.5609756097560976,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
4,http://www.group15_KD_tr_onto/HWD,Heerhugowaard railway station,HWD,52.67,4.82361,0.21428571428571427,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
5,http://www.group15_KD_tr_onto/OBD,Obdam railway station,OBD,52.6781,4.90833,0.39705882352941174,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
6,http://www.group15_KD_tr_onto/SGN,Schagen railway station,SGN,52.7861,4.80528,0.3170731707317073,http://www.group15_KD_tr_onto/235,De Kooy,235,52.928,4.781,50,213,-1,65,62
7,http://www.group15_KD_tr_onto/AC,Abcoude railway station,AC,52.2744,4.98222,0.2,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
8,http://www.group15_KD_tr_onto/AMPO,Almere Poort railway station,AMPO,52.3428,5.15194,0.511520737327189,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
9,http://www.group15_KD_tr_onto/ASA,Amsterdam Amstel station,ASA,52.3464,4.91778,0.5151515151515151,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
10,http://www.group15_KD_tr_onto/ASB,Amsterdam Bijlmer ArenA station,ASB,52.3131,4.94611,0.28923076923076924,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
11,http://www.group15_KD_tr_onto/ASDL,Amsterdam Lelylaan station,ASDL,52.3572,4.83389,0.6336206896551724,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
12,http://www.group15_KD_tr_onto/ASDM,Amsterdam Muiderpoort railway station,ASDM,52.3608,4.93111,0.7104477611940299,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
13,http://www.group15_KD_tr_onto/ASDZ,Amsterdam Zuid station,ASDZ,52.3389,4.87306,0.8509316770186336,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
14,http://www.group15_KD_tr_onto/ASD,Amsterdam Centraal station,ASD,52.3783,4.9,1.604004449388209,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
15,http://www.group15_KD_tr_onto/ASSP,Amsterdam Science Park railway station,ASSP,52.3525,4.94861,1.2662337662337662,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
16,http://www.group15_KD_tr_onto/ASS,Amsterdam Sloterdijk station,ASS,52.3892,4.83806,0.7322751322751323,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
17,http://www.group15_KD_tr_onto/BLL,Bloemendaal railway station,BLL,52.4042,4.6275,1.325,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
18,http://www.group15_KD_tr_onto/BV,Beverwijk railway station,BV,52.4783,4.65611,0.7403846153846154,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
19,http://www.group15_KD_tr_onto/CAS,Castricum railway station,CAS,52.5456,4.65889,0.6041666666666666,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
20,http://www.group15_KD_tr_onto/DMNZ,Diemen Zuid station,DMNZ,52.3303,4.95639,0.9104477611940298,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
21,http://www.group15_KD_tr_onto/DMN,Diemen railway station,DMN,52.3453,4.96694,1.2012987012987013,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
22,http://www.group15_KD_tr_onto/HAD,Heemstede-Aerdenhout railway station,HAD,52.3597,4.60694,0.7854077253218884,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
23,http://www.group15_KD_tr_onto/HFD,Hoofddorp railway station,HFD,52.2933,4.7,0.7649402390438247,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
24,http://www.group15_KD_tr_onto/HIL,Hillegom railway station,HIL,52.3028,4.56583,0.620253164556962,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
25,http://www.group15_KD_tr_onto/HK,Heemskerk railway station,HK,52.4947,4.68611,0.65,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
26,http://www.group15_KD_tr_onto/HLMS,Haarlem Spaarnwoude railway station,HLMS,52.3828,4.67111,0.967741935483871,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
27,http://www.group15_KD_tr_onto/HLM,Haarlem railway station,HLM,52.3878,4.63889,0.551980198019802,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
28,http://www.group15_KD_tr_onto/HLO,Heiloo railway station,HLO,52.6,4.70083,0.56353591160221,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
29,http://www.group15_KD_tr_onto/HWZB,Halfweg-Zwanenburg railway station,HWZB,52.3847,4.75167,0.9032258064516129,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
30,http://www.group15_KD_tr_onto/NVP,Nieuw-Vennep railway station,NVP,52.2597,4.64556,0.8,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
31,http://www.group15_KD_tr_onto/OVN,Overveen railway station,OVN,52.3908,4.60778,0.59375,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
32,http://www.group15_KD_tr_onto/PMR,Purmerend railway station,PMR,52.5033,4.95417,0.6233766233766234,http://www.group15_KD_tr_onto/240,Schiphol,240,52.318,4.79,50,227,-1,70,105
